variable,mean,std,min,max,median
q1_true_goal_prob,0.4096123049831951,0.259645002933422,1.1187282458398101e-8,0.9999999753879675,0.45454545446759587
mid_true_goal_prob,0.6943422063620642,0.44741776303464587,0.0,1.0000000000000009,0.9999995936213382
q3_true_goal_prob,0.7290399442749583,0.4518303091344699,0.0,1.0000000000000007,0.999999999999996
end_true_goal_prob,0.7999999999999994,0.4140393356054123,0.0,1.0000000000000009,0.9999999999999998
q1_is_top_ranked,0.7333333333333333,0.45773770821706344,false,true,1.0
mid_is_top_ranked,0.7333333333333333,0.45773770821706344,false,true,1.0
q3_is_top_ranked,0.7333333333333333,0.45773770821706344,false,true,1.0
end_is_top_ranked,0.8,0.41403933560541256,false,true,1.0
total_states_visited,2176.266666666667,1011.6700807975653,1213,5219,2065.0
initial_states_visited,1336.8666666666666,213.28882720274828,1092,1796,1313.0
marginal_states_visited,83.36603174603174,76.58151616790573,10.625,315.4166666666667,61.1
average_states_visited,211.66188182188182,81.5677592135232,134.77777777777777,401.46153846153845,190.6
total_dur,16.235451889038085,4.693173071466648,9.135183095932007,26.00564694404602,16.785688877105713
initial_dur,9.19234946568807,2.4035308431245412,5.743844985961914,13.512470006942749,9.657320022583008
marginal_dur,0.7524419655875554,0.2834473961493497,0.435861611366272,1.4591083129247029,0.736239995275225
average_dur,1.6041547027085703,0.4539954601449228,0.929516380483454,2.7694058418273926,1.558587936254648
