variable,mean,std,min,max,median
q1_true_goal_prob,0.6850251118083341,0.43442828402284417,1.2485422367711768e-14,0.9999529782722546,0.9939685641256598
mid_true_goal_prob,0.998288250626033,0.007649883842014205,0.9657875030771899,1.0000000000000064,0.9999999999999973
q3_true_goal_prob,1.0000000000000007,2.5428202332773464e-15,0.9999999999999966,1.0000000000000067,1.0000000000000004
end_true_goal_prob,0.9999999999999998,2.9749005496735897e-15,0.9999999999999949,1.0000000000000047,1.0
q1_is_top_ranked,0.7,0.4701623459816272,false,true,1.0
mid_is_top_ranked,1.0,0.0,true,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,14349.5,3568.9060906964933,9516,22703,13737.5
initial_states_visited,7598.4,453.7627945129597,6646,8417,7608.5
marginal_states_visited,408.4796761204482,197.37606218340417,158.28571428571428,834.125,365.6862745098039
average_states_visited,821.6677467258833,195.493489884869,534.1578947368421,1201.0,805.2291666666667
total_dur,237.10375024080275,27.103871723081106,200.16866397857666,294.66729402542114,227.84919595718384
initial_dur,183.82252957820893,10.101432450646138,170.08320999145508,205.10077810287476,182.49632453918457
marginal_dur,3.2236405702367996,1.5105469045087914,1.7023474318640572,7.880869595209758,2.6362769620759146
average_dur,13.598614026577678,1.6248717500952297,11.695454279581705,18.01851586997509,13.126830297046238
