variable,mean,std,min,max,median
q1_true_goal_prob,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
mid_true_goal_prob,0.3611111111111111,0.06487491201346027,0.3333333333333333,0.5,0.3333333333333333
q3_true_goal_prob,0.4444444444444444,0.08206099398622183,0.3333333333333333,0.5,0.5
end_true_goal_prob,1.0,0.0,1.0,1.0,1.0
q1_is_top_ranked,1.0,0.0,true,true,1.0
mid_is_top_ranked,1.0,0.0,true,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,6774.25,2078.0835631548953,4245,10033,6407.5
initial_states_visited,910.5,157.03589630168233,788,1159,847.5
marginal_states_visited,456.60698398823405,110.0076342207337,314.27272727272725,682.6153846153846,443.4642857142857
average_states_visited,489.5972941274411,109.2805053843274,353.75,716.6428571428571,477.73333333333335
total_dur,60.2979933420817,18.207534827397925,38.42800307273865,87.5659351348877,56.65163254737854
initial_dur,8.335923473040262,1.3763874983861077,6.7240049839019775,10.62766695022583,8.074553489685059
marginal_dur,4.04626525812664,0.9680083774907432,2.805924574534098,5.96782662318303,4.086050242185593
average_dur,4.359154337913126,0.9601401286794286,3.1435255270737867,6.254709652491978,4.42223449283176
