variable,mean,std,min,max,median
q1_true_goal_prob,0.33333333333333326,6.014481567073309e-17,0.3333333333333333,0.33333333333333337,0.3333333333333333
mid_true_goal_prob,0.3541666666666666,0.05630532705768137,0.3333333333333333,0.5,0.3333333333333333
q3_true_goal_prob,0.5277777777777778,0.22876831869664876,0.3333333333333333,1.0,0.5
end_true_goal_prob,1.0,0.0,1.0,1.0,1.0
q1_is_top_ranked,1.0,0.0,true,true,1.0
mid_is_top_ranked,1.0,0.0,true,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,8771.75,5769.612746028145,4245,26415,6924.0
initial_states_visited,910.5,153.58413640907625,788,1159,847.5
marginal_states_visited,502.3967076921831,153.35626654475806,314.27272727272725,814.7096774193549,471.65
average_states_visited,530.7266317482577,147.63666415662289,353.75,825.46875,504.1060606060606
total_dur,77.90695223212242,51.843198638786454,37.37186002731323,236.40562510490417,61.415889501571655
initial_dur,8.141553044319153,1.6024985647071421,6.496009111404419,10.956913948059082,7.785600066184998
marginal_dur,4.453362208484074,1.4307040418401384,2.698026160399119,7.273794166503414,4.110378831624985
average_dur,4.708772546427266,1.39155470215233,3.011233843289889,7.3876757845282555,4.445635751883189
