variable,mean,std,min,max,median
q1_true_goal_prob,0.3516683897086175,0.07457168058576409,0.23076924408700192,0.5000139209506567,0.3564705854927067
mid_true_goal_prob,0.4638791586824531,0.2762251686745431,0.09090908253877814,0.9999998874648385,0.36666667024110955
q3_true_goal_prob,0.5275460987965185,0.3460228649528999,5.6019824235116384e-5,0.9999999999999997,0.4423076606571791
end_true_goal_prob,0.9166666666666639,0.288675134594812,0.0,1.0000000000000009,0.9999999999999997
q1_is_top_ranked,0.4166666666666667,0.5149286505444373,false,true,0.0
mid_is_top_ranked,0.4166666666666667,0.5149286505444373,false,true,0.0
q3_is_top_ranked,0.4166666666666667,0.5149286505444373,false,true,0.0
end_is_top_ranked,0.9166666666666666,0.28867513459481287,false,true,1.0
total_states_visited,1380.3333333333333,304.38741263346776,859,1948,1387.5
initial_states_visited,856.4166666666666,104.08253572249401,683,1093,857.0
marginal_states_visited,40.34655205905206,13.77181918340129,14.666666666666666,60.357142857142854,40.38461538461539
average_states_visited,100.93749820440996,17.24952738653136,66.07692307692308,127.0,102.96190476190476
total_dur,11.534570137659708,2.5404950209237978,7.105156898498535,16.65651798248291,11.698013544082642
initial_dur,6.345409194628398,2.3216129536710937,4.635668992996216,13.40355896949768,5.776232004165649
marginal_dur,0.40268374549324,0.08044436637767642,0.2710799177487691,0.5277138607842582,0.39829000142904425
average_dur,0.8441761181251214,0.1611269007377503,0.6855905897477094,1.281270614037147,0.818676966144925
